sample_id,gender,type,tissue_old,age,tissue,ACE2,ESR1,ACE1,ESR2,AR,PGR,TMPRSS2
TARGET.20.PANGTF.09,female,cancer,NA,0-19,blood,-2.22E-08,0.059068774,0.344279969,0.077866098,-2.22E-08,-2.22E-08,-2.22E-08
TARGET.20.PANHYK.09,male,cancer,NA,0-19,blood,-2.16E-08,0.03866826,0.432241256,0.267359548,0.177276348,-2.16E-08,-2.16E-08
TARGET.20.PANINI.09,male,cancer,NA,0-19,blood,-1.45E-08,0.038894913,0.368534978,0.013210193,-1.45E-08,-1.45E-08,-1.45E-08
TARGET.20.PANKFZ.09,male,cancer,NA,0-19,blood,-1.64E-08,-1.64E-08,1.214609134,-1.64E-08,0.593906882,-1.64E-08,-1.64E-08
TARGET.20.PANKKE.09,male,cancer,NA,0-19,blood,-1.66E-08,-1.66E-08,1.249164755,0.099446314,0.853878384,-1.66E-08,-1.66E-08
TARGET.20.PANKNB.09,male,cancer,NA,0-19,blood,-1.88E-08,0.272460637,0.296060164,0.033741318,0.066081383,0.017052608,-1.88E-08
TARGET.20.PANLIR.09,male,cancer,NA,0-19,blood,0.22702343,0.254629616,0.390524226,0.05442278,0.018549904,-2.04E-08,-2.04E-08
TARGET.20.PANLIZ.04,male,cancer,NA,0-19,blood,0.017897921,0.035403818,0.508065639,0.085710255,-1.97E-08,-1.97E-08,0.085710255
TARGET.20.PANLIZ.09,male,cancer,NA,0-19,blood,0.03526051,-1.96E-08,1.220533492,0.085369248,0.017825036,-1.96E-08,-1.96E-08
TARGET.20.PANLJN.09,male,cancer,NA,0-19,blood,-1.37E-08,-1.37E-08,0.312222804,-1.37E-08,0.184781531,-1.37E-08,-1.37E-08
TARGET.20.PANLKB.09,female,cancer,NA,0-19,blood,-1.70E-08,-1.70E-08,0.719617733,-1.70E-08,-1.70E-08,-1.70E-08,-1.70E-08
TARGET.20.PANLLX.09,male,cancer,NA,0-19,blood,0.834313288,0.388365421,1.40559219,0.500053062,-2.35E-08,-2.35E-08,-2.35E-08
TARGET.20.PANLXM.09,female,cancer,NA,0-19,blood,0.183988133,0.692623789,0.47027522,0.150348938,0.613794668,-2.24E-08,0.020342398
TARGET.20.PANNHB.09,female,cancer,NA,0-19,blood,-2.15E-08,-2.15E-08,0.535684896,0.07526469,0.127481978,-2.15E-08,-2.15E-08
TARGET.20.PANPKN.09,male,cancer,NA,0-19,blood,0.036947875,0.154315029,0.138581588,0.089381446,0.036947875,-2.06E-08,-2.06E-08
TARGET.20.PANPLS.03,female,cancer,NA,0-19,blood,-2.24E-08,0.360529847,0.833933033,0.565978118,0.184054864,-2.24E-08,-2.24E-08
TARGET.20.PANPTM.09,male,cancer,NA,0-19,blood,-1.63E-08,0.270350494,1.411334669,0.014802118,1.045078431,-1.63E-08,-1.63E-08
TARGET.20.PANSBH.09,male,cancer,NA,0-19,blood,-2.45E-08,0.883587962,2.376850856,0.330993129,-2.45E-08,-2.45E-08,0.043837067
TARGET.20.PANSJB.09,male,cancer,NA,0-19,blood,-1.63E-08,-1.63E-08,0.512133716,-1.63E-08,-1.63E-08,-1.63E-08,-1.63E-08
TARGET.20.PANTPW.09,female,cancer,NA,0-19,blood,-1.39E-08,-1.39E-08,0.02502986,0.02502986,-1.39E-08,-1.39E-08,-1.39E-08
TARGET.20.PANUTB.09,female,cancer,NA,0-19,blood,-2.08E-08,0.216202175,1.836836735,0.037305303,1.336991385,-2.08E-08,-2.08E-08
TARGET.20.PANUUA.09,female,cancer,NA,0-19,blood,-1.68E-08,-1.68E-08,1.378545859,0.139917102,0.567551986,-1.68E-08,-1.68E-08
TARGET.20.PANVGE.09,male,cancer,NA,0-19,blood,-1.61E-08,-1.61E-08,0.725061436,-1.61E-08,1.283771613,-1.61E-08,-1.61E-08
TARGET.20.PANVGP.03,male,cancer,NA,0-19,blood,0.043836068,0.163377423,1.803964196,0.300099287,0.586700129,-2.45E-08,-2.45E-08
TARGET.20.PANWHP.09,female,cancer,NA,0-19,blood,-1.42E-08,0.012891237,1.042945577,-1.42E-08,0.353184794,-1.42E-08,-1.42E-08
TARGET.20.PANYNR.03,male,cancer,NA,0-19,blood,-1.96E-08,0.176401859,1.662097691,-1.96E-08,1.308358591,-1.96E-08,-1.96E-08
TARGET.20.PANYSN.03,male,cancer,NA,0-19,blood,-2.05E-08,0.475781029,1.02731394,-2.05E-08,0.979710667,-2.05E-08,-2.05E-08
TARGET.20.PANZKA.09,female,cancer,NA,0-19,blood,-1.27E-08,0.033975714,0.518543207,-1.27E-08,-1.27E-08,-1.27E-08,-1.27E-08
TARGET.20.PAPAWN.09,male,cancer,NA,0-19,blood,-1.37E-08,-1.37E-08,1.215430128,-1.37E-08,0.723013445,-1.37E-08,-1.37E-08
TARGET.20.PAPBEJ.09,female,cancer,NA,0-19,blood,-2.34E-08,0.021235983,0.174317504,0.476117444,0.174317504,0.041959689,-2.34E-08
TARGET.20.PAPVCN.09,male,cancer,NA,0-19,blood,-1.64E-08,0.23010968,1.291778062,0.057937417,0.5825845,-1.64E-08,-1.64E-08
TARGET.20.PAPVDV.03,male,cancer,NA,0-19,blood,-2.53E-08,0.443210072,1.401627721,0.813475513,0.483187056,-2.53E-08,0.067138117
TARGET.20.PAPVZK.09,male,cancer,NA,0-19,blood,-1.61E-08,0.28795635,1.148423565,0.029044277,0.902009168,-1.61E-08,-1.61E-08
TARGET.20.PAPWHS.09,male,cancer,NA,0-19,blood,-1.42E-08,0.02559186,0.672905941,0.062253427,0.02559186,-1.42E-08,-1.42E-08
